New Mexico,Arizona,Wildcats,6,6,New Mexico,Lobos,6,6,Dec.,19,2:00:00 PM,ESPN
Royal Purple,BYU,Cougars,6,6,Utah,Utes,6,6,Dec.,19,3:30:00 PM,ABC
Camellia,Ohio,Bobcats,6,6,App St.,Mountaineers,6,6,Dec.,19,5:30:00 PM,ESPN
Cure,San Jose St.,Spartans,6,6,Georgia St.,Panthers,6,6,Dec.,19,7:00:00 PM,CBSSN
New Orleans,Ark St.,Red Wolves,6,6,Louisiana Tech,Bulldogs,6,6,Dec.,19,9:00:00 PM,ESPN
Miama Beach,W. KY,Hilltoppers,6,6,South Florida,Bulls,6,6,Dec.,21,2:30:00 PM,ESPN
Idaho Potato,Akron,Zips,6,6,Utah St.,Aggies,6,6,Dec.,22,3:30:00 PM,ESPN
Boca Raton,Temple,Owls,6,6,Toledo,Rockets,6,6,Dec.,22,7:00:00 PM,ESPN
Poinsettia,Boise St.,Broncos,6,6,Northern Illinois,Huskies,6,6,Dec.,23,4:30:00 PM,ESPN
GoDaddy,Bowling Green,Falcons,6,6,Georgia Southern,Eagles,6,6,Dec.,23,8:00:00 PM,ESPN
Hawaii,San Diego St.,Aztecs,6,6,Cincinnati,Bearcats,6,6,Dec.,24,8:00:00 PM,ESPN
Bahamas,Mid Tenn St.,Blue Raiders,6,6,Western Michigan,Broncos,6,6,Dec.,24,12:00:00 PM,ESPN
St. Pete,UConn,Huskies,6,6,Marshall,Thundering Herd,6,6,Dec.,26,11:00:00 AM,ESPN
Sun,Miami,Hurricanes,6,6,WSU,Cougars,6,6,Dec.,26,2:00:00 PM,CBS
Heart of Dallas,Washington,Huskies,6,6,Southern Miss,Golden Eagles,6,6,Dec.,26,2:20:00 PM,ESPN
Pinstripe,Indiana,Hoosiers,6,6,Duke,Blue Devils,6,6,Dec.,26,3:30:00 PM,ABC
Independence,Tulsa,Golden Hurricane,6,6,Virginia Tech,Hokies,6,6,Dec.,26,5:45:00 PM,ESPN
Foster Farms,fUCLA,Bruins,6,6,Nebraska,Huskers,6,6,Dec.,26,9:15:00 PM,ESPN
Military,Pitt,Panthers,6,6,Navy,Midshipmen,6,6,Dec.,28,2:30:00 PM,ESPN
Quick Lane,Central Michigan,Chippewas,6,6,Minnesota,Golden Gophers,6,6,Dec.,28,5:00:00 PM,ESPN2
Armed Forces,Cal,Golden Bears,6,6,Air Force,Falcons,6,6,Dec.,29,2:00:00 PM,ESPN
Russell Athletic,UNC,Tar Heels,6,6,Baylor,Bears,6,6,Dec.,29,5:30:00 PM,ESPN
Arizona,Nevada,Wolf Pak,6,6,Colorado St.,Rams,6,6,Dec.,29,7:30:00 PM,ASN
Texas,LSU,Tigers,6,6,Texas Tech,Red Raiders,6,6,Dec.,29,9:00:00 PM,ESPN
Holiday,U$C,Trojans,6,6,Wisconsin,Badgers,6,6,Dec.,30,10:30:00 PM,ESPN
Belk,NC State,Wolf Pak,6,6,Miss St.,Bulldogs,6,6,Dec.,30,3:30:00 PM,ESPN
Music City,Texas A&M,Aggies,6,6,Louisville,Cardinals,6,6,Dec.,30,7:00:00 PM,ESPN
Birmingham,Auburn,Tigers,6,6,Memphis,Tigers,6,6,Dec.,30,12:00:00 PM,ESPN
Orange,Clemson,Tigers,6,6,Oklahoma,Sooners,6,6,Dec.,31,4:00:00 PM,ESPN
Cotton,Alabama,Crimson Tide,6,6,Michigan St.,Spartans,6,6,Dec.,31,8:00:00 PM,ESPN
Peach,Houston,Cougars,6,6,FSU,Seminoles,6,6,Dec.,31,12:00:00 PM,ESPN
Citrus,Michigan,Wolverines,6,6,Florida,Gators,6,6,Jan.,1,1:00:00 PM,ABC
Fiesta,Notre Dame,Fighting Irish,6,6,Ohio St.,Buckeyes,6,6,Jan.,1,1:00:00 PM,ESPN
Rose,Iowa,Hawkeyes,6,6,Stanford,Cardinal,6,6,Jan.,1,5:00:00 PM,ESPN
Sugar,Okie St.,Cowboys,6,6,Ole Miss,Rebels,6,6,Jan.,1,8:30:00 PM,ESPN
Outback,Northwestern,Wildcats,6,6,Tennessee,Volunteers,6,6,Jan.,1,12:00:00 PM,ESPN
Cactus,West Virginia,Mountaineers,6,6,Arizona St.,Sun Devils,6,6,Jan.,2,10:15:00 PM,ESPN
Liberty,K State,Wildcats,6,6,Arkansas,Razorbacks,6,6,Jan.,2,3:20:00 PM,ESPN
Alamo,Oregon,Ducks,6,6,TCU,Horned Frogs,6,6,Jan.,2,6:45:00 PM,ESPN
TaxSlayer,Georgia,Bulldogs,6,6,Penn State,Nittany Lions,6,6,Jan.,2,12:00:00 PM,ESPN